"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""매 맞아야 할 짐승""… 트럼프, LA 경찰 ""총격 사망""에 격분","도널드 트럼프 미국 대통령이 13일 미국 로스앤젤레스에서 발생한 경찰 총격 사망 사건에 격분했다.	 이날 LA에선 경찰관 두명이 괴한의 매복 공격을 받고 중태에 빠지는 사건이 일어났다.	  이날 뉴욕타임스에 따르면 남성 경관 1명과 여성 경관 1명은 12일 오후 7시 순찰차에 타고 근무를 서던 도중 괴한의 총격을 받고 중태에 빠졌다.	 괴한은 순찰차 주변을 서성이다가 조수석 쪽으로 다가갔고, 총을 난사하고 달아났다.	 범인은 아직 검거되지 않았고, 범행 동기도 밝혀지지 않았다.	 부상을 입은 경찰은 인근 병원으로 옮겨져 수술을 받았으나 현재 위중한 상태다.	두 경찰관은 1년 2개월 전에 임용됐고, 여성 경관은 6살 아들을 둔 엄마인 것으로 알려졌다.	 미 연방수사국 통계에 따르면 올 들어 40명에 가까운 경찰관이 근무 도중에 사망했고, 이중 8명은 매복 공격으로 숨졌다.	 도널드 트럼프 대통령은 총격 사건 영상을 리트윗하면서 ""강하게 매 맞아야 할 짐승""이라며 총격범을 맹비난했다.	앨릭스 비야누에바  회견에서 괴한이 ""비겁한 방법""으로 경관들을 습격했다며 ""이번 사건은 경찰이 위험한 직업이라는 사실만 확인시켜준다.	 사람들은 경찰의 공권력 집행을 좋아하지 않기 때문에 경찰 일이 쉽지 않다""고 말했다."
"사매 2터널 사고, 4명 사망·43명 부상… 18일 합동조사","순천∼완주 간 고속도로의 사매 2터널에서 발생한 다중 추돌 사고의 사망자가 4명으로 늘었다.18일 전북소방본부와 전북경찰청에 따르면 이날 오전 1시10분쯤 현장 정리 과정에서 시신 1구를 추가로 발견했다.	 이에 따라 이 사고로 현재까지 4명이 숨지고 43명이 부상한 것으로 파악됐다.	이번 사고는 전날 낮 12시23분쯤 전북 남원시 사매면 순천~완주 고속도로 상행선 사매 2터널 100m 지점에서 24t 탱크로리와 트레일러, 화물차량 등 30여대가 잇따라 부딪히며 발생했다.	공개된 도로공사 폐쇄회로TV 영상에 따르면 당시 터널 안에는 빙판길에 의한 경미한 연쇄 추돌이 발생한 상태였다.	 하지만 24t 탱크로리가 속도를 줄이지 못하고 앞에 있던 트레일러와 잇따라 부딪히며 큰불이 났다.	사고가 난 탱크로리에는 질산 1만8000ℓ가 실려 있었고, 사고 충격으로 불이 붙으면서 터널 안이 유독가스로 가득 차 소방차 진입 등에 큰 어려움을 겪었다.	사고 당시 남원에 평균 5.6cm의 눈이 내리면서 도로가 결빙돼 짧은 제동거리로 인해 사고가 났을 가능성이 큰 것으로 보인다.	경찰 관계자는 ""현재까지 사고 원인을 단정할 수는 없으나 사고 당일 새벽부터 많은 눈이 내려 평소보다 노면이 미끄러웠던 것으로 보인다""며 ""브레이크를 밟았을 때 차량이 흔들렸다는 운전자 등의 진술을 토대로 정확한 사고 원인을 조사하고 있다""고 설명했다.	소방본부는 사고 다음 날인 이날 오전 3시쯤 정리 작업을 마무리했으며 날이 밝는 대로 관계 기관과 합동조사를 진행할 예정이다."
방역수칙 안지키는 ‘식당·카페’ 한가득… 194건 적발,"전국 지방자치단체가 23개 분야 총 3만3440개소에 대한 방역수칙 준수 여부를 점검한 결과  194건의 방역수칙 미준수를 적발했다.	중앙재난안전대책본부는 27일 오후 신종 코로나바이러스 감염증 온라인 정례브리핑을 통해 이 같은 정부·지자체 방역강화 특별대책 점검상황 결과를 발표했다.	전날 기준 각 지방자치단체에서 식당·카페 1만7969개소, PC방 1523개소 등 23개 분야 총 3만3440개소를 점검한 결과 방역수칙 미준수는 194건이 적발됐다.	클럽·감성주점 등 유흥시설 3527개소를 대상으로 경찰청 등과 합동으로 심야시간 특별점검도 실시했다.	 그 결과 3519개소가 영업 중지임을 확인했고 영업 중인 8개소에 대해서는 방역수칙 준수 등을 지도했다.	중대본 관계자는 “앞으로도 정부는 지자체, 관계기관 등과 협력해 소관 시설의 방역관리 상황을 지속적으로 점검하고 고위험시설과 모임·여행 등을 통한 감염 방지에 총력을 다할 계획”이라고 강조했다."
"[머니S포토] 김창룡 경찰청장 ""정인이 사망 사건 대국민 사과""","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""몸캠피싱 피해 청소년, 두번 울리는 무자격 업체 주의""",몸캠피싱 범죄가 기승을 부리는 가운데 청소년들이 구제 업체에게서 오히려 2차 피해를 당하는 사례가 증가하고 있어 주의가 요구된다.	 몸캠피싱은 피해자의 음란영상을 미끼로 금품 등을 요구하는 디지털 성범죄다.	사기 행각을 벌인 몸캠피싱 구제 업체 상당수는 관련 자격증을 구비하지 않은 것으로 전해졌다.	 일부는 또 존재하지도 않은 해외 보안회사를 사칭하거나 사업자등록마저 하지 않은 것으로 알려져 충격을 주고 있다.	 8일 IT보안기업 디포렌식코리아는 “청소년 피해자들이 무료 상담서비스를 제공하는 업체들로부터 예견치 못한 2차 피해를 입고 있다”면서 구제 업체로 인한 피해가 증가하고 있다고 밝혔다.	디포렌식코리아와 이 업체가 가입한 한국사이버보안협회가 접수한 관련 피해 사례는 지난해 하반기 33명에서 올 상반기 62명으로 두배 가까이 급증했다.	 디포렌식코리아는 “피해 청소년으로부터 작업을 완료했다는 허위 보고서를 제공하는 등 2차 피해 사례가 늘고 있다”면서 “비용까지 받아 챙긴 무자격 구제 업체들도 많아 각별한 주의가 필요하다”고 당부했다.	또 온라인 수업이 일상화하는 과정에서 청소년 몸캠피싱 피해가 늘고 있는 것으로 나타났다.	디포렌식코리아에 따르면 지난해 하반기 협회에 접수된 아동·청소년 몸캠피싱 피해 사례는 250건이었던 반면 올해 상반기는 2배 이상 증가한 570건을 기록했다.	이에 대해 디포렌식코리아는 “온라인 수업으로 전환하면서 많은 청소년들이 스마트 기기에 과몰입한 피해 사례가 급증한 것으로 보인다”면서 “일선 학교 차원에서 사전 예방 교육에 관심을 기울여야 한다”고 목소리를 높였다.	그러면서 “피해를 입었다면 2차 피해를 막기 위해서 경찰과 공조하는 공인된 업체를 확인하는 것도 중요하다”고 덧붙였다.
"시행 첫날 홍콩보안법 ""1호"" 사건 터졌다","홍콩 경찰은 1일 트위터를 통해 ""한 남성이 코즈웨이베이 지역에서 '홍콩 독립'이라 쓰인 깃발을 소지해 홍콩보안법 위반한 혐의로 체포했다""고 밝혔다.	경찰은 또 ""홍콩 국가보안법 위반한 혐의로  법률이 시행에 들어간 이후 첫 체포 사례""라고 전했다.	홍콩 경찰이 올린 트위터 사진에 따르면 이 남성은 'FREE HONG KONG·광복홍콩·시대혁명' 등의 문구가 쓰인 티셔츠를 입고 '홍콩 독립' 문구가 적힌 깃발을 갖고 있었다.	 이 남성의 정확한 신원은 알려지지 않았다."
"인천시, 사람 우선 교통안전도시 ‘교통안전리더’ 배출","인천시는 인천지방경찰청과 한국교통안전공단 인천본부, 도로교통공단 인천지부와 협력하여 시민교육인력 양성 교육‧훈련 프로그램을 운영해 ‘교통안전리더’를 배출했다고 12일 밝혔다.	교통안전리더는 지난해부터 주민참여예산과 연계한 단체 역량강화 활동 지원의 일환으로 추진되어, 1기에 리더 20명 배출에 이어 올해 리더 2기 22명을 배출하여 인천시의 교통안전 특수시책으로 자리매김하게 됐다.	특히 교통안전리더는 관내 어린이교통공원에서 인턴십 형태의 현장훈련을 진행하고, 본격적으로 ‘인천시 교통안전리더 자원봉사센터’를 통해서 자원봉사 활동을 시작한다.	 이혁성 인천시 교통정책과장은  “시민 주도의 성숙한 교통안전문화 확산과 교통안전도시 실현의 밀알이 될 것임을 기대한다”고 밝혔다."
"영 BBC “신천지 사태 통제했던 한국, 이번에는 다르다”","영국 공영방송 BBC가 “신천지를 잘 막아낸 ‘방역모범국’이 새로운 도전에 직면했으며, 이번에는 상황이 많이 다르다”고 한국의 신종 코로나바이러스 감염증 2차 유행을 분석했다.	BBC는 24일 한국에 코로나19가 재확산되는 상황을 심층적으로 분석해 전하며 이같이 밝혔다.	BBC는 “방역모범국으로 불린 한국이 사랑제일교회 등을 중심으로 일일 신규확진자가 세자릿수를 기록하며 전국적 확산 위기에 직면했다”고 말했다.	특히 “사랑제일교회 신도들을 중심으로 ‘음모론’이 확산되며 방역 당국의 추적을 피하고 있어 우려가 커지고 있는 상황”이라고 BBC는 전했다."
"삐라 보낸 민간단체 2곳, 법인 설립 허가 취소(종합)","민간단체 자유북한운동연합과 큰샘의 법인 설립 허가가 취소됐다.	통일부는 17일 배포한 자료를 통해 대북 전단과 물품 등을 살포한 민간단체 자유북한운동연합과 큰샘에 대해 법인 설립 허가를 취소했다고 밝혔다.	이어 "" 정부의 통일 정책이나 통일 추진 노력을 심대히 저해하는 등 설립 허가 조건을 위배했다""라고 강조했다.	또 법인 설립 목적 이외의 사업에 해당하는 대북 전단과 물품을 살포했으며 접경지역 주민들의 생명과 안전의 위험을 초래했다고 덧붙였다.	통일부 관계자는 ""이들 단체들은 한반도에 긴장 상황을 조성했다""라며 ""공익을 해하는 행위로 민법 제38조의 법인 설립 허가 취소 사유에 해당한다고 최종 판단했다""라고 말했다.	이들 단체들은 탈북자 형제인 박상학·박정오 형제가 각각 대표를 맡고 있는 곳으로 북한 주민들의 알 권리 보장과 인권 증진을 주장하며 대북 전단과 페트병에 쌀을 담아 북한에 살포해 왔다.	그러나 지난달 4일 북한이 대북 전단 살포를 이유로 '대남 대적 사업'을 개시하겠다고 선언하며 개성 남북 공동연락사무소까지 파괴하는 강도 높은 압박을 전개하자 정부는 이들 단체들에 대해 사법적 조치를 취할 방침을 밝혔다.	법인 설립허가가 취소될 경우 단체들은 지정기부금 단체 지정이 취소되며 기부금 모금이 어려워진다.	 각종 세제 혜택도 받을 수 없게 된다.	아울러 이번 통일부의 조치와 별개로 교류협력법 위반으로 경찰에 고발된 두 단체들에 대한 수사는 이어질 예정이다.	 정부는 지난달 이들 단체들이 교류협력법 상의 반출 승인 규정을 위반했다며 경찰에 고발했다.	통일부는 이 단체들에 대한 법인 설립 허가 취소에 이어 북한 인권 및 정착 지원 분야와 관련된 통일부 등록 법인 단체 25개에 대한 사무검사를 실시할 예정이다.	북한 인권 및 정착지원 분야 총 95개의 비영리법인 중 매년 해당 법인이 제출하는 ▲법인 운영 실적보고 미제출 ▲보고 내용 불충분 ▲추가적 사실 확인 등을 요하는 25개 법인으로 사무검사의 기준을 삼았다.	사무검사가 끝나는 대로 자유북한운동연합과 큰샘과 마찬가지로 법인 설립 허가 취소 처분을 받는 단체들이 추가로 나올 가능성도 제기된다."
"광주광역시, 5일부터 학원·종교시설 고위험 시설 지정","광주=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"수원 어린이집 교사들 만행… 머리치고 등 때리며 ""충격""","경기 수원시의 한 어린이집에서 교사들이 영아들을 폭행한 사실이 전해져 충격을 안겼다.	지난 9일 수원 중부경찰서에 따르면 수원시의 한 어린이집 40대 교사 2명과 원장 등 3명을 아동학대처벌법 등 위반 혐의로 입건해 기소의견으로 검찰에 송치했다.	이들은 지난해 8월부터 10월까지 원생인 영아 4명을 학대한 혐의를 받는다.	 해당 어린이집 원장은 피해 영아의 학대 사실을 알고도 방치한 혐의가 있다.	이 같은 학대 사실은 지난해 10월 아기 등에 멍 자국이 있는 것을 발견한 한 학부모가 어린이집 CCTV를 확인하면서 알려졌다.	CCTV에는 교사들이 아이의 머리가 흔들릴 정도로 등을 세게 때리고 아이들을 이불로 싸맨 뒤 밖으로 끌고 나가는 모습 등이 담겼다.	 교사들은 만 0세 반을 담당했다.	경찰 수사 당시 교사들은 ""아이들이 잠을 자지 않아서 등을 두드려 준 것""이라고 말했다.	 하지만 경찰이 CCTV를 보여주며 추궁하자 혐의를 시인한 것으로 알려졌다.	현재 해당 어린이집은 자진 폐업한 상태다."
"경찰, 조두순 호송차 걷어찬 유튜버에 사전구속영장 신청","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
마스크 쓰라고 했더니 총을 쐈다,미국에서 20대 남성이 마스크를 착용하라는 가게 직원의 권고에 총격을 가해 중상을 입혔다.	AP통신과 지역 KDVR방송 등에 따르면 미국 콜로라도주 덴버시에서 심야에 20대 남성이 와플 가게의 직원이 가게 안에서 마스크를 착용하라고 말하자 총격을 가해 중상을 입히고 체포됐다.	덴버 경찰은 총격을 가한 켈빈 왓슨을 1급 살인 미수로 체포했다.	 왓슨은 지난 15일 밤 자정이 넘은 시간에 와플 식당에 갔다.	 직원이 가게 안에서는 마스크를 착용해야 와플을 살 수 있다고 말했다.	 이 가게는 최근에는 포장해 가는 손님에게만 음식을 팔고 있었다.	왓슨은 다시 마스크 한 장을 들고 돌아왔으나 착용하지 않아 판매를 거절당했다.	 목격자들에 따르면 왓슨이 소형 권총을 카운터 위에 꺼내 놓고 직원에게 “뇌를 날려버리겠다”고 협박했다.	그는 다음날 밤에도 자정을 넘긴 시간에 다시 가게에 방문해 직원의 뺨을 때렸고 역시 와플을 팔 수 없다는 대답을 들었다.	 그러자 그는 달아나는 직원을 쫓아가 직원을 향해 총을 쏘았다.	 경상을 입은 직원은 병원에 입원했다.
